cancer_type,original_label,new_label
Bladder,cancer_state_0_0.1,Hypoxic Glycolytic Adaptive_0_0.1
Bladder,cancer_state_1_0.1,TNF-Activated Stress_1_0.1
Bladder,cancer_state_10_1,Translational Proteostasis_10_1
Bladder,cancer_state_13_0.4,Interferon Immune-Active_13_0.4
Bladder,cancer_state_14_0.4,Proliferative_14_0.4
Bladder,cancer_state_14_0.9,Inflammatory Mesenchymal_14_0.9
Bladder,cancer_state_15_0.7,Proinflammatory Mesenchymal_15_0.7
Bladder,cancer_state_2_0.1,Proteostasis Stress_2_0.1
Bladder,cancer_state_2_0.2,ER-Stress Differentiation_2_0.2
Bladder,cancer_state_20_0.6,Antigen-Presenting Immune_20_0.6
Bladder,cancer_state_20_0.7,Proliferative_20_0.7
Bladder,cancer_state_3_0.4,Protein-Synthesis Proteostasis_3_0.4
Bladder,cancer_state_5_0.5,Hypoxic Keratinizing_5_0.5
Bladder,cancer_state_6_0.1,Proliferative_6_0.1
Bladder,cancer_state_6_0.2,Interferon Adaptive Immune_6_0.2
Bladder,cancer_state_6_0.5,Proteostasis Stress Hypoxic_6_0.5
Bladder,cancer_state_7_0.2,Inflammatory Mesenchymal Immune_7_0.2
Bladder,cancer_state_9_1,Interferon Lymphoid Immune_9_1
Breast,cancer_state_1_0.1,Proliferative_1_0.1
Breast,cancer_state_1_0.2,OXPHOS-High Maintenance_1_0.2
Breast,cancer_state_1_0.4,Inflammatory KRAS EMT-Like_1_0.4
Breast,cancer_state_10_0.2,Proliferative_10_0.2
Breast,cancer_state_13_1,Inflammatory ER-Low_13_1
Breast,cancer_state_16_0.9,Hormone-Responsive Luminal_16_0.9
Breast,cancer_state_18_1,Hypoxic Glycolytic EMT_18_1
Breast,cancer_state_2_0.4,Hypoxic Inflammatory Hormone_2_0.4
Breast,cancer_state_21_0.9,Starvation Translation-Active_21_0.9
Breast,cancer_state_24_0.6,Interferon-Activated Immune_24_0.6
Breast,cancer_state_3_0.3,Proliferative_3_0.3
Breast,cancer_state_4_0.2,Estrogen NF-kB-Active_4_0.2
Breast,cancer_state_4_0.3,Estrogen Lipid-Metabolic_4_0.3
Breast,cancer_state_5_0.2,OXPHOS-High Stress_5_0.2
Breast,cancer_state_5_0.3,OXPHOS Translation-High_5_0.3
Breast,cancer_state_5_0.8,Translation-Active Metabolic_5_0.8
Breast,cancer_state_6_0.2,Stress Translation-Active_6_0.2
